Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Sassari","resident population (percentage values)","total","75 years and over",9.52,
"all items","total","all items","2011","Sassari","resident population (percentage values)","total","85 years and over",2.46,
"all items","total","all items","2011","Sassari","elder for child","total","total",4.28,
"all items","total","all items","2011","Sassari","dependency ratio ","total","total",48.55,
"all items","total","all items","2011","Sassari","ageing index ","total","total",165.42,
"all items","total","all items","2011","Sassari","population aged 65 and over (percentage values)","females","65 years and over",57.05,
"all items","total","all items","2011","Sassari","population aged 75 and over (percentage values)","females","75 years and over",60.83,
"all items","total","all items","2011","Sassari","population aged 85 and over (percentage values)","females","85 years and over",67.12,
"all items","total","all items","2011","Sassari","sex ratio","total","total",94.69,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","females","until 4 years",3071,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","females","total",81043,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","total","until 4 years",6416,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","total","until 5 years",7768,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","total","65 years and over",33279,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","total","75 years and over",16417,
"all items","total","all items","2011","Nuoro","resident population (absolute values)","total","total",159197,
"all items","total","all items","2011","Nuoro","resident population (percentage values)","total","until 4 years",4.03,
"all items","total","all items","2011","Nuoro","resident population (percentage values)","total","until 5 years",4.88,
"all items","total","all items","2011","Nuoro","resident population (percentage values)","total","65 years and over",20.9,
"all items","total","all items","2011","Nuoro","resident population (percentage values)","total","75 years and over",10.31,
"all items","total","all items","2011","Nuoro","resident population (percentage values)","total","85 years and over",2.82,
"all items","total","all items","2011","Nuoro","elder for child","total","total",4.28,
"all items","total","all items","2011","Nuoro","dependency ratio ","total","total",51.09,
"all items","total","all items","2011","Nuoro","ageing index ","total","total",161.92,
"all items","total","all items","2011","Nuoro","population aged 65 and over (percentage values)","females","65 years and over",57.96,
"all items","total","all items","2011","Nuoro","population aged 75 and over (percentage values)","females","75 years and over",61.97,
"all items","total","all items","2011","Nuoro","population aged 85 and over (percentage values)","females","85 years and over",66.47,
"all items","total","all items","2011","Nuoro","sex ratio","total","total",96.44,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","females","until 4 years",10854,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","females","total",283120,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","total","until 4 years",22411,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","total","until 5 years",26949,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","total","65 years and over",104584,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","total","75 years and over",47841,
"all items","total","all items","2011","Cagliari","resident population (absolute values)","total","total",550580,
"all items","total","all items","2011","Cagliari","resident population (percentage values)","total","until 4 years",4.07,
"all items","total","all items","2011","Cagliari","resident population (percentage values)","total","until 5 years",4.89,
"all items","total","all items","2011","Cagliari","resident population (percentage values)","total","65 years and over",19,
"all items","total","all items","2011","Cagliari","resident population (percentage values)","total","75 years and over",8.69,
"all items","total","all items","2011","Cagliari","resident population (percentage values)","total","85 years and over",2.25,
"all items","total","all items","2011","Cagliari","elder for child","total","total",3.88,
"all items","total","all items","2011","Cagliari","dependency ratio ","total","total",45.6,
"all items","total","all items","2011","Cagliari","ageing index ","total","total",154.13,
"all items","total","all items","2011","Cagliari","population aged 65 and over (percentage values)","females","65 years and over",56.78,
"all items","total","all items","2011","Cagliari","population aged 75 and over (percentage values)","females","75 years and over",61.04,
"all items","total","all items","2011","Cagliari","population aged 85 and over (percentage values)","females","85 years and over",67.74,
"all items","total","all items","2011","Cagliari","sex ratio","total","total",94.47,
"all items","total","all items","2011","Oristano","resident population (absolute values)","females","until 4 years",2745,
"all items","total","all items","2011","Oristano","resident population (absolute values)","females","total",83434,
"all items","total","all items","2011","Oristano","resident population (absolute values)","total","until 4 years",5731,
"all items","total","all items","2011","Oristano","resident population (absolute values)","total","until 5 years",6903,
"all items","total","all items","2011","Oristano","resident population (absolute values)","total","65 years and over",37255,
"all items","total","all items","2011","Oristano","resident population (absolute values)","total","75 years and over",18603,
"all items","total","all items","2011","Oristano","resident population (absolute values)","total","total",163916,
"all items","total","all items","2011","Oristano","resident population (percentage values)","total","until 4 years",3.5,
"all items","total","all items","2011","Oristano","resident population (percentage values)","total","until 5 years",4.21,
"all items","total","all items","2011","Oristano","resident population (percentage values)","total","65 years and over",22.73,
"all items","total","all items","2011","Oristano","resident population (percentage values)","total","75 years and over",11.35,
"all items","total","all items","2011","Oristano","resident population (percentage values)","total","85 years and over",3.13,
"all items","total","all items","2011","Oristano","elder for child","total","total",5.4,
"all items","total","all items","2011","Oristano","dependency ratio ","total","total",51.68,
"all items","total","all items","2011","Oristano","ageing index ","total","total",200.37,
"all items","total","all items","2011","Oristano","population aged 65 and over (percentage values)","females","65 years and over",56.56,
"all items","total","all items","2011","Oristano","population aged 75 and over (percentage values)","females","75 years and over",60.73,
"all items","total","all items","2011","Oristano","population aged 85 and over (percentage values)","females","85 years and over",66.22,
"all items","total","all items","2011","Oristano","sex ratio","total","total",96.46,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","females","until 4 years",3435,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","females","total",76114,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","total","until 4 years",7120,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","total","until 5 years",8481,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","total","65 years and over",27059,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","total","75 years and over",11974,
"all items","total","all items","2011","Olbia-Tempio","resident population (absolute values)","total","total",150501,
"all items","total","all items","2011","Olbia-Tempio","resident population (percentage values)","total","until 4 years",4.73,
"all items","total","all items","2011","Olbia-Tempio","resident population (percentage values)","total","until 5 years",5.64,
"all items","total","all items","2011","Olbia-Tempio","resident population (percentage values)","total","65 years and over",17.98,
"all items","total","all items","2011","Olbia-Tempio","resident population (percentage values)","total","75 years and over",7.96,
"all items","total","all items","2011","Olbia-Tempio","resident population (percentage values)","total","85 years and over",2.04,
"all items","total","all items","2011","Olbia-Tempio","elder for child","total","total",3.19,
"all items","total","all items","2011","Olbia-Tempio","dependency ratio ","total","total",45.93,
"all items","total","all items","2011","Olbia-Tempio","ageing index ","total","total",133.21,
"all items","total","all items","2011","Olbia-Tempio","population aged 65 and over (percentage values)","females","65 years and over",54.75,
"all items","total","all items","2011","Olbia-Tempio","population aged 75 and over (percentage values)","females","75 years and over",58.43,
"all items","total","all items","2011","Olbia-Tempio","population aged 85 and over (percentage values)","females","85 years and over",64.86,
"all items","total","all items","2011","Olbia-Tempio","sex ratio","total","total",97.73,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","females","until 4 years",1120,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","females","total",29029,
"all items","total","all items","2011","Ogliastra","elder for child","total","total",4.27,
"all items","total","all items","2011","Ogliastra","dependency ratio ","total","total",50.95,
"all items","total","all items","2011","Ogliastra","ageing index ","total","total",165.27,
"all items","total","all items","2011","Ogliastra","population aged 65 and over (percentage values)","females","65 years and over",57.16,
"all items","total","all items","2011","Ogliastra","population aged 75 and over (percentage values)","females","75 years and over",59.33,
"all items","total","all items","2011","Ogliastra","population aged 85 and over (percentage values)","females","85 years and over",64.48,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","total","until 4 years",2356,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","total","until 5 years",2821,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","total","65 years and over",12055,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","total","75 years and over",6014,
"all items","total","all items","2011","Ogliastra","resident population (absolute values)","total","total",57329,
"all items","total","all items","2011","Ogliastra","resident population (percentage values)","total","until 4 years",4.11,
"all items","total","all items","2011","Ogliastra","resident population (percentage values)","total","until 5 years",4.92,
"all items","total","all items","2011","Ogliastra","resident population (percentage values)","total","65 years and over",21.03,
"all items","total","all items","2011","Ogliastra","resident population (percentage values)","total","75 years and over",10.49,
"all items","total","all items","2011","Ogliastra","resident population (percentage values)","total","85 years and over",2.92,
"all items","total","all items","2011","Ogliastra","sex ratio","total","total",97.49,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","females","until 4 years",1831,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","females","total",51217,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","total","until 4 years",3709,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","total","until 5 years",4453,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","total","65 years and over",21434,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","total","75 years and over",10415,
"all items","total","all items","2011","Medio Campidano","resident population (absolute values)","total","total",101256,
"all items","total","all items","2011","Medio Campidano","resident population (percentage values)","total","until 4 years",3.66,
"all items","total","all items","2011","Medio Campidano","resident population (percentage values)","total","until 5 years",4.4,
"all items","total","all items","2011","Medio Campidano","resident population (percentage values)","total","65 years and over",21.17,
"all items","total","all items","2011","Medio Campidano","resident population (percentage values)","total","75 years and over",10.29,
"all items","total","all items","2011","Medio Campidano","resident population (percentage values)","total","85 years and over",2.57,
"all items","total","all items","2011","Medio Campidano","elder for child","total","total",4.81,
"all items","total","all items","2011","Medio Campidano","dependency ratio ","total","total",48.62,
"all items","total","all items","2011","Medio Campidano","ageing index ","total","total",183.37,
"all items","total","all items","2011","Medio Campidano","population aged 65 and over (percentage values)","females","65 years and over",56.41,
"all items","total","all items","2011","Medio Campidano","population aged 75 and over (percentage values)","females","75 years and over",60.95,
"all items","total","all items","2011","Medio Campidano","population aged 85 and over (percentage values)","females","85 years and over",68.91,
"all items","total","all items","2011","Medio Campidano","sex ratio","total","total",97.7,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","females","until 4 years",2092,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","females","total",65668,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","total","until 4 years",4344,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","total","until 5 years",5194,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","total","65 years and over",26360,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","total","75 years and over",12786,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (absolute values)","total","total",128540,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (percentage values)","total","until 4 years",3.38,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (percentage values)","total","until 5 years",4.04,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (percentage values)","total","65 years and over",20.51,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (percentage values)","total","75 years and over",9.95,
"all items","total","all items","2011","Carbonia-Iglesias","resident population (percentage values)","total","85 years and over",2.74,
"all items","total","all items","2011","Carbonia-Iglesias","elder for child","total","total",5.08,
"all items","total","all items","2011","Carbonia-Iglesias","dependency ratio ","total","total",45.29,
"all items","total","all items","2011","Carbonia-Iglesias","ageing index ","total","total",192.25,
"all items","total","all items","2011","Carbonia-Iglesias","population aged 65 and over (percentage values)","females","65 years and over",57.06,
"all items","total","all items","2011","Carbonia-Iglesias","population aged 75 and over (percentage values)","females","75 years and over",61.19,
"all items","total","all items","2011","Carbonia-Iglesias","population aged 85 and over (percentage values)","females","85 years and over",66.22,
"all items","total","all items","2011","Carbonia-Iglesias","sex ratio","total","total",95.74,
"all items","total","all items","2011","Italy","present population (absolute values)","females","total",31228761,
"all items","total","all items","2011","Italy","present population (absolute values)","total","total",60457909,
"all items","total","all items","2011","Nord-ovest","present population (absolute values)","females","total",8230371,
"all items","total","all items","2011","Nord-ovest","present population (absolute values)","total","total",15935602,
"all items","total","all items","2011","Nord-est","present population (absolute values)","females","total",6030437,
"all items","total","all items","2011","Nord-est","present population (absolute values)","total","total",11717363,
"all items","total","all items","2011","Centro (I)","present population (absolute values)","females","total",6212377,
"all items","total","all items","2011","Centro (I)","present population (absolute values)","total","total",11948610,
"all items","total","all items","2011","Sud","present population (absolute values)","females","total",7249970,
"all items","total","all items","2011","Sud","present population (absolute values)","total","total",14063907,
"all items","total","all items","2011","Isole","present population (absolute values)","females","total",3505606,
"all items","total","all items","2011","Isole","present population (absolute values)","total","total",6792427,
"all items","total","all items","2011","Piemonte","present population (absolute values)","females","total",2277672,
"all items","total","all items","2011","Piemonte","present population (absolute values)","total","total",4393838,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","present population (absolute values)","females","total",65718,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","present population (absolute values)","total","total",128664,
"all items","total","all items","2011","Liguria","present population (absolute values)","females","total",848057,
"all items","total","all items","2011","Liguria","present population (absolute values)","total","total",1605728,
"all items","total","all items","2011","Lombardia","present population (absolute values)","females","total",5038924,
"all items","total","all items","2011","Lombardia","present population (absolute values)","total","total",9807372,
"all items","total","all items","2011","Trentino Alto Adige / Südtirol","present population (absolute values)","females","total",547585,
"all items","total","all items","2011","Trentino Alto Adige / Südtirol","present population (absolute values)","total","total",1076319,
"all items","total","all items","2011","Provincia Autonoma Bolzano / Bozen","present population (absolute values)","females","total",274252,
"all items","total","all items","2011","Provincia Autonoma Bolzano / Bozen","present population (absolute values)","total","total",540218,
"all items","total","all items","2011","Provincia Autonoma Trento","present population (absolute values)","females","total",273333,
"all items","total","all items","2011","Provincia Autonoma Trento","present population (absolute values)","total","total",536101,
"all items","total","all items","2011","Veneto","present population (absolute values)","females","total",2543517,
"all items","total","all items","2011","Veneto","present population (absolute values)","total","total",4954952,
"all items","total","all items","2011","Friuli-Venezia Giulia","present population (absolute values)","females","total",639937,
"all items","total","all items","2011","Friuli-Venezia Giulia","present population (absolute values)","total","total",1237025,
"all items","total","all items","2011","Emilia-Romagna","present population (absolute values)","females","total",2299398,
"all items","total","all items","2011","Emilia-Romagna","present population (absolute values)","total","total",4449067,
"all items","total","all items","2011","Toscana","present population (absolute values)","females","total",1958156,
"all items","total","all items","2011","Toscana","present population (absolute values)","total","total",3760077,
"all items","total","all items","2011","Umbria","present population (absolute values)","females","total",477553,
"all items","total","all items","2011","Umbria","present population (absolute values)","total","total",917784,
"all items","total","all items","2011","Marche","present population (absolute values)","females","total",822372,
"all items","total","all items","2011","Marche","present population (absolute values)","total","total",1591265,
"all items","total","all items","2011","Lazio","present population (absolute values)","females","total",2954296,
"all items","total","all items","2011","Lazio","present population (absolute values)","total","total",5679484,
"all items","total","all items","2011","Abruzzo","present population (absolute values)","females","total",675983,
"all items","total","all items","2011","Abruzzo","present population (absolute values)","total","total",1314045,
"all items","total","all items","2011","Molise","present population (absolute values)","females","total",158665,
"all items","total","all items","2011","Molise","present population (absolute values)","total","total",308967,
"all items","total","all items","2011","Campania","present population (absolute values)","females","total",3013529,
"all items","total","all items","2011","Campania","present population (absolute values)","total","total",5840408,
"all items","total","all items","2011","Puglia","present population (absolute values)","females","total",2114645,
"all items","total","all items","2011","Puglia","present population (absolute values)","total","total",4090452,
"all items","total","all items","2011","Basilicata","present population (absolute values)","females","total",293652,
"all items","total","all items","2011","Basilicata","present population (absolute values)","total","total",573458,
"all items","total","all items","2011","Calabria","present population (absolute values)","females","total",993496,
"all items","total","all items","2011","Calabria","present population (absolute values)","total","total",1936577,
"all items","total","all items","2011","Sicilia","present population (absolute values)","females","total",2664839,
"all items","total","all items","2011","Sicilia","present population (absolute values)","total","total",5151096,
"all items","total","all items","2011","Sardegna","present population (absolute values)","females","total",840767,
"all items","total","all items","2011","Sardegna","present population (absolute values)","total","total",1641331,
"all items","total","all items","2011","Torino","present population (absolute values)","females","total",1167113,
"all items","total","all items","2011","Torino","present population (absolute values)","total","total",2244488,
"all items","total","all items","2011","Vercelli","present population (absolute values)","females","total",93369,
"all items","total","all items","2011","Vercelli","present population (absolute values)","total","total",180272,
"all items","total","all items","2011","Novara","present population (absolute values)","females","total",190862,
"all items","total","all items","2011","Novara","present population (absolute values)","total","total",367939,
"all items","total","all items","2011","Cuneo","present population (absolute values)","females","total",303188,
"all items","total","all items","2011","Cuneo","present population (absolute values)","total","total",594729,
"all items","total","all items","2011","Asti","present population (absolute values)","females","total",115396,
"all items","total","all items","2011","Asti","present population (absolute values)","total","total",223018,
"all items","total","all items","2011","Alessandria","present population (absolute values)","females","total",226369,
"all items","total","all items","2011","Alessandria","present population (absolute values)","total","total",434050,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","present population (absolute values)","females","total",65718,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","present population (absolute values)","total","total",128664,
"all items","total","all items","2011","Imperia","present population (absolute values)","females","total",117828,
"all items","total","all items","2011","Imperia","present population (absolute values)","total","total",224323,
"all items","total","all items","2011","Savona","present population (absolute values)","females","total",148217,
"all items","total","all items","2011","Savona","present population (absolute values)","total","total",282298,
"all items","total","all items","2011","Genova","present population (absolute values)","females","total",464445,
"all items","total","all items","2011","Genova","present population (absolute values)","total","total",874472,
"all items","total","all items","2011","La Spezia","present population (absolute values)","females","total",117567,
"all items","total","all items","2011","La Spezia","present population (absolute values)","total","total",224635,
"all items","total","all items","2011","Varese","present population (absolute values)","females","total",451352,
"all items","total","all items","2011","Varese","present population (absolute values)","total","total",878222,
"all items","total","all items","2011","Como","present population (absolute values)","females","total",304557,
"all items","total","all items","2011","Como","present population (absolute values)","total","total",598467,
"all items","total","all items","2011","Sondrio","present population (absolute values)","females","total",92616,
"all items","total","all items","2011","Sondrio","present population (absolute values)","total","total",181112,
"all items","total","all items","2011","Milano","present population (absolute values)","females","total",1587023,
"all items","total","all items","2011","Milano","present population (absolute values)","total","total",3046482,
"all items","total","all items","2011","Bergamo","present population (absolute values)","females","total",553862,
"all items","total","all items","2011","Bergamo","present population (absolute values)","total","total",1098583,
"all items","total","all items","2011","Brescia","present population (absolute values)","females","total",640381,
"all items","total","all items","2011","Brescia","present population (absolute values)","total","total",1255523,
"all items","total","all items","2011","Pavia","present population (absolute values)","females","total",282390,
"all items","total","all items","2011","Pavia","present population (absolute values)","total","total",546045,
"all items","total","all items","2011","Cremona","present population (absolute values)","females","total",186612,
"all items","total","all items","2011","Cremona","present population (absolute values)","total","total",363934,
"all items","total","all items","2011","Mantova","present population (absolute values)","females","total",210968,
"all items","total","all items","2011","Mantova","present population (absolute values)","total","total",412658,
"all items","total","all items","2011","Bolzano / Bozen","present population (absolute values)","females","total",274252,
"all items","total","all items","2011","Bolzano / Bozen","present population (absolute values)","total","total",540218,
"all items","total","all items","2011","Trento","present population (absolute values)","females","total",273333,
"all items","total","all items","2011","Trento","present population (absolute values)","total","total",536101,
"all items","total","all items","2011","Verona","present population (absolute values)","females","total",471845,
"all items","total","all items","2011","Verona","present population (absolute values)","total","total",921228,
"all items","total","all items","2011","Vicenza","present population (absolute values)","females","total",446842,
"all items","total","all items","2011","Vicenza","present population (absolute values)","total","total",882224,
"all items","total","all items","2011","Belluno","present population (absolute values)","females","total",109585,
"all items","total","all items","2011","Belluno","present population (absolute values)","total","total",210349,
"all items","total","all items","2011","Treviso","present population (absolute values)","females","total",448145,
"all items","total","all items","2011","Treviso","present population (absolute values)","total","total",877836,
"all items","total","all items","2011","Venezia","present population (absolute values)","females","total",453944,
"all items","total","all items","2011","Venezia","present population (absolute values)","total","total",876369,
"all items","total","all items","2011","Padova","present population (absolute values)","females","total",484628,
"all items","total","all items","2011","Padova","present population (absolute values)","total","total",939750,
"all items","total","all items","2011","Rovigo","present population (absolute values)","females","total",128528,
"all items","total","all items","2011","Rovigo","present population (absolute values)","total","total",247196,
"all items","total","all items","2011","Udine","present population (absolute values)","females","total",278682,
"all items","total","all items","2011","Udine","present population (absolute values)","total","total",539166,
"all items","total","all items","2011","Gorizia","present population (absolute values)","females","total",73156,
"all items","total","all items","2011","Gorizia","present population (absolute values)","total","total",141517,
"all items","total","all items","2011","Trieste","present population (absolute values)","females","total",125884,
"all items","total","all items","2011","Trieste","present population (absolute values)","total","total",238099,
"all items","total","all items","2011","Piacenza","present population (absolute values)","females","total",148500,
"all items","total","all items","2011","Piacenza","present population (absolute values)","total","total",288089,
"all items","total","all items","2011","Parma","present population (absolute values)","females","total",226396,
"all items","total","all items","2011","Parma","present population (absolute values)","total","total",437501,
"all items","total","all items","2011","Reggio nell'Emilia","present population (absolute values)","females","total",265909,
"all items","total","all items","2011","Reggio nell'Emilia","present population (absolute values)","total","total",522664,
"all items","total","all items","2011","Modena","present population (absolute values)","females","total",356929,
"all items","total","all items","2011","Modena","present population (absolute values)","total","total",697191,
"all items","total","all items","2011","Bologna","present population (absolute values)","females","total",528562,
"all items","total","all items","2011","Bologna","present population (absolute values)","total","total",1014228,
"all items","total","all items","2011","Ferrara","present population (absolute values)","females","total",194989,
"all items","total","all items","2011","Ferrara","present population (absolute values)","total","total",371245,
"all items","total","all items","2011","Ravenna","present population (absolute values)","females","total",203692,
"all items","total","all items","2011","Ravenna","present population (absolute values)","total","total",393943,
"all items","total","all items","2011","Forlì-Cesena","present population (absolute values)","females","total",204968,
"all items","total","all items","2011","Forlì-Cesena","present population (absolute values)","total","total",397651,
"all items","total","all items","2011","Pesaro e Urbino","present population (absolute values)","females","total",192881,
"all items","total","all items","2011","Pesaro e Urbino","present population (absolute values)","total","total",373750,
"all items","total","all items","2011","Ancona","present population (absolute values)","females","total",257154,
"all items","total","all items","2011","Ancona","present population (absolute values)","total","total",496149,
"all items","total","all items","2011","Macerata","present population (absolute values)","females","total",168774,
"all items","total","all items","2011","Macerata","present population (absolute values)","total","total",327611,
"all items","total","all items","2011","Ascoli Piceno","present population (absolute values)","females","total",110542,
"all items","total","all items","2011","Ascoli Piceno","present population (absolute values)","total","total",212670,
"all items","total","all items","2011","Massa-Carrara","present population (absolute values)","females","total",106489,
"all items","total","all items","2011","Massa-Carrara","present population (absolute values)","total","total",203656,
"all items","total","all items","2011","Lucca","present population (absolute values)","females","total",208719,
"all items","total","all items","2011","Lucca","present population (absolute values)","total","total",398183,
"all items","total","all items","2011","Pistoia","present population (absolute values)","females","total",153551,
"all items","total","all items","2011","Pistoia","present population (absolute values)","total","total",294413,
"all items","total","all items","2011","Firenze","present population (absolute values)","females","total",519562,
"all items","total","all items","2011","Firenze","present population (absolute values)","total","total",992837,
"all items","total","all items","2011","Livorno","present population (absolute values)","females","total",176030,
"all items","total","all items","2011","Livorno","present population (absolute values)","total","total",338733,
"all items","total","all items","2011","Pisa","present population (absolute values)","females","total",218595,
"all items","total","all items","2011","Pisa","present population (absolute values)","total","total",421741,
"all items","total","all items","2011","Arezzo","present population (absolute values)","females","total",181783,
"all items","total","all items","2011","Arezzo","present population (absolute values)","total","total",352263,
"all items","total","all items","2011","Siena","present population (absolute values)","females","total",146695,
"all items","total","all items","2011","Siena","present population (absolute values)","total","total",281126,
"all items","total","all items","2011","Grosseto","present population (absolute values)","females","total",117724,
"all items","total","all items","2011","Grosseto","present population (absolute values)","total","total",225328,
"all items","total","all items","2011","Perugia","present population (absolute values)","females","total",354646,
"all items","total","all items","2011","Perugia","present population (absolute values)","total","total",682511,
"all items","total","all items","2011","Terni","present population (absolute values)","females","total",122907,
"all items","total","all items","2011","Terni","present population (absolute values)","total","total",235273,
"all items","total","all items","2011","Viterbo","present population (absolute values)","females","total",162821,
"all items","total","all items","2011","Viterbo","present population (absolute values)","total","total",318983,
"all items","total","all items","2011","Rieti","present population (absolute values)","females","total",81345,
"all items","total","all items","2011","Rieti","present population (absolute values)","total","total",157921,
"all items","total","all items","2011","Roma","present population (absolute values)","females","total",2173377,
"all items","total","all items","2011","Roma","present population (absolute values)","total","total",4154288,
"all items","total","all items","2011","Latina","present population (absolute values)","females","total",281063,
"all items","total","all items","2011","Latina","present population (absolute values)","total","total",548613,
"all items","total","all items","2011","Frosinone","present population (absolute values)","females","total",255690,
"all items","total","all items","2011","Frosinone","present population (absolute values)","total","total",499679,
"all items","total","all items","2011","Caserta","present population (absolute values)","females","total",465163,
"all items","total","all items","2011","Caserta","present population (absolute values)","total","total",909216,
"all items","total","all items","2011","Benevento","present population (absolute values)","females","total",145724,
"all items","total","all items","2011","Benevento","present population (absolute values)","total","total",283647,
"all items","total","all items","2011","Napoli","present population (absolute values)","females","total",1621848,
"all items","total","all items","2011","Napoli","present population (absolute values)","total","total",3126468,
"all items","total","all items","2011","Avellino","present population (absolute values)","females","total",216507,
"all items","total","all items","2011","Avellino","present population (absolute values)","total","total",423830,
"all items","total","all items","2011","Salerno","present population (absolute values)","females","total",564287,
"all items","total","all items","2011","Salerno","present population (absolute values)","total","total",1097247,
"all items","total","all items","2011","L'Aquila","present population (absolute values)","females","total",155210,
"all items","total","all items","2011","L'Aquila","present population (absolute values)","total","total",302887,
"all items","total","all items","2011","Teramo","present population (absolute values)","females","total",157010,
"all items","total","all items","2011","Teramo","present population (absolute values)","total","total",308460,
"all items","total","all items","2011","Pescara","present population (absolute values)","females","total",165856,
"all items","total","all items","2011","Pescara","present population (absolute values)","total","total",317881,
"all items","total","all items","2011","Chieti","present population (absolute values)","females","total",197907,
"all items","total","all items","2011","Chieti","present population (absolute values)","total","total",384817,
"all items","total","all items","2011","Campobasso","present population (absolute values)","females","total",114928,
"all items","total","all items","2011","Campobasso","present population (absolute values)","total","total",223597,
"all items","total","all items","2011","Foggia","present population (absolute values)","females","total",324226,
"all items","total","all items","2011","Foggia","present population (absolute values)","total","total",630051,
"all items","total","all items","2011","Bari","present population (absolute values)","females","total",652519,
"all items","total","all items","2011","Bari","present population (absolute values)","total","total",1269412,
"all items","total","all items","2011","Taranto","present population (absolute values)","females","total",305074,
"all items","total","all items","2011","Taranto","present population (absolute values)","total","total",590253,
"all items","total","all items","2011","Brindisi","present population (absolute values)","females","total",209599,
"all items","total","all items","2011","Brindisi","present population (absolute values)","total","total",402612,
"all items","total","all items","2011","Lecce","present population (absolute values)","females","total",418986,
"all items","total","all items","2011","Lecce","present population (absolute values)","total","total",797600,
"all items","total","all items","2011","Potenza","present population (absolute values)","females","total",189279,
"all items","total","all items","2011","Potenza","present population (absolute values)","total","total",369775,
"all items","total","all items","2011","Matera","present population (absolute values)","females","total",104373,
"all items","total","all items","2011","Matera","present population (absolute values)","total","total",203683,
"all items","total","all items","2011","Cosenza","present population (absolute values)","females","total",359657,
"all items","total","all items","2011","Cosenza","present population (absolute values)","total","total",703531,
"all items","total","all items","2011","Catanzaro","present population (absolute values)","females","total",185309,
"all items","total","all items","2011","Catanzaro","present population (absolute values)","total","total",359342,
"all items","total","all items","2011","Reggio di Calabria","present population (absolute values)","females","total",281742,
"all items","total","all items","2011","Reggio di Calabria","present population (absolute values)","total","total",546246,
"all items","total","all items","2011","Trapani","present population (absolute values)","females","total",223591,
"all items","total","all items","2011","Trapani","present population (absolute values)","total","total",432388,
"all items","total","all items","2011","Palermo","present population (absolute values)","females","total",693250,
"all items","total","all items","2011","Palermo","present population (absolute values)","total","total",1326918,
"all items","total","all items","2011","Messina","present population (absolute values)","females","total",338091,
"all items","total","all items","2011","Messina","present population (absolute values)","total","total",650466,
"all items","total","all items","2011","Agrigento","present population (absolute values)","females","total",232812,
"all items","total","all items","2011","Agrigento","present population (absolute values)","total","total",448176,
"all items","total","all items","2011","Caltanissetta","present population (absolute values)","females","total",141975,
"all items","total","all items","2011","Caltanissetta","present population (absolute values)","total","total",273812,
"all items","total","all items","2011","Enna","present population (absolute values)","females","total",89927,
"all items","total","all items","2011","Enna","present population (absolute values)","total","total",172537,
"all items","total","all items","2011","Catania","present population (absolute values)","females","total",574577,
"all items","total","all items","2011","Catania","present population (absolute values)","total","total",1117670,
